Question,Answer
are entertainment systems available,yes on most longhaul and many shorthaul aircraft
is there a power outlet or usb charging port,available on many aircraft especially in premium cabins or newer planes
what should i do if i left something on the plane,contact the airlines lost and found or file a report on their website
can i travel with sporting equipment,yes most airlines accept it as checked baggage with prior notice during the checkin
how do i travel with musical instruments,small instruments may be carried incabin larger ones need special handlingso infrom the checkins staff during checkin
what is the minimum age for flying alone,typically 512 years for unaccompanied minor service
do i need to print my ticket,not usually a mobile boarding pass and valid id are enough
what is airline pnr,passenger name record pnr is your booking reference number used to access your itinerary
can i get a receipt for baggage fees,yes receipts are usually available via email or the booking history
how do i request a flight certificate for proof of travel,request it via customer support or through your booking account
can i bring dutyfree liquids on connecting flights,yes if they are in sealed tamperevident bags with receipt
how do i change my contact information after booking,log in to manage booking or call customer service to update it
